mal_id,url,title,title_english,title_japanese,type,source,episodes,status,duration,rating,score,rank,popularity,members,favorites,synopsis,season,year,studios,genres,images.jpg.image_url,trailer.url,aired.from,aired.to,broadcast.string
60557,https://myanimelist.net/anime/60557/Fanren_Xiu_Xian_Chuan_4th_Season,Fanren Xiu Xian Chuan 4th Season,A Record of Mortal's Journey to Immortality Season 4,凡人修仙传 第四季,ONA,Novel,52,Currently Airing,20 min per ep,PG-13 - Teens 13 or older,7.81,1030,14310,1018,8,Fourth season of Fanren Xiu Xian Chuan.,,,"Original Force, Wonder Cat Animation","Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1264/147029.jpg,,2025-01-18T00:00:00+00:00,,
56215,https://myanimelist.net/anime/56215/Yi_Nian_Yong_Heng_3rd_Season,Yi Nian Yong Heng 3rd Season,A Will Eternal 3rd Season,一念永恒 第三季,ONA,Novel,59,Currently Airing,Unknown,PG-13 - Teens 13 or older,7.81,1024,11286,2467,30,Third season of Yi Nian Yong Heng.,,,B.CMAY PICTURES,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1074/137652.jpg,,2024-07-03T00:00:00+00:00,,
966,https://myanimelist.net/anime/966/Crayon_Shin-chan,Crayon Shin-chan,Shin Chan,クレヨンしんちゃん,TV,Manga,,Currently Airing,21 min,G - All Ages,7.8,1039,2406,88535,1333,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon.

Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with.

[Written by MAL Rewrite]",spring,1992,Shin-Ei Animation,"Comedy, Ecchi",https://cdn.myanimelist.net/images/anime/10/59897.jpg,,1992-04-13T00:00:00+00:00,,Fridays at 19:30 (JST)
50250,https://myanimelist.net/anime/50250/Chiikawa,Chiikawa,,ちいかわ,TV,Web manga,,Currently Airing,1 min,G - All Ages,7.77,1113,7976,6760,171,"What's a Chiikawa? No one really knows, but everyone can see they're small, they're cute, and they're always having a fun time! Join them as they explore their surreal world with the sharp humor and clever antics that make the Chiikawa irresistible.

(Source: HIDIVE, edited)",spring,2022,Doga Kobo,Comedy,https://cdn.myanimelist.net/images/anime/1783/121944.jpg,https://www.youtube.com/watch?v=m4yfCS_YBUU,2022-04-04T00:00:00+00:00,,Fridays at 07:40 (JST)
60420,https://myanimelist.net/anime/60420/Cang_Yuan_Tu_2nd_Season,Cang Yuan Tu 2nd Season,The Demon Hunter 2nd Season,沧元图 第二季,ONA,Web novel,27,Currently Airing,22 min per ep,PG-13 - Teens 13 or older,7.74,1184,14407,986,10,The second season of Cang Yuan Tu.,,,"Shenman Entertainment, Tianshi Wenhua","Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1530/146755.jpg,,2024-12-06T00:00:00+00:00,,
56038,https://myanimelist.net/anime/56038/Lazarus,Lazarus,,ラザロ,TV,Original,13,Currently Airing,23 min per ep,PG-13 - Teens 13 or older,7.72,1244,2094,110612,655,"The year is 2052—an era of unprecedented peace and prosperity prevails across the globe. The reason for this: mankind has been freed from sickness and pain. Nobel Prize winning neuroscientist Dr. Skinner has developed a miracle cure-all drug with no apparent drawbacks called Hapuna. Hapuna soon becomes ubiquitous... and essential. However, soon after Hapuna is officially introduced, Dr. Skinner vanishes.

Three years later, the world has moved on. But Dr. Skinner has returned—this time, as a harbinger of doom. Skinner announces that Hapuna has a short half-life. Everyone who has taken it will die approximately three years later. Death is coming for this sinful world—and coming soon.

As a response to this threat, a special task force of five agents is gathered from across the world to save humanity from Skinner’s plan. This group is called ""Lazarus."" Can they find Skinner and develop a vaccine before time runs out?

(Source: Adult Swim, edited)",spring,2025,MAPPA,Sci-Fi,https://cdn.myanimelist.net/images/anime/1015/148185.jpg,https://www.youtube.com/watch?v=7d2ot3PQBMs,2025-04-06T00:00:00+00:00,,Sundays at 23:45 (JST)
8687,https://myanimelist.net/anime/8687/Doraemon_2005,Doraemon (2005),,ドラえもん (2005),TV,Manga,,Currently Airing,25 min,PG - Children,7.72,1259,5020,21573,244,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. 

It is the 2005 version of 1979 series, with certain changes in the animation and other things.

Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech.

(Source: Wikipedia)",spring,2005,Shin-Ei Animation,"Comedy, Sci-Fi",https://cdn.myanimelist.net/images/anime/6/23935.jpg,,2005-04-22T00:00:00+00:00,,Fridays at 19:00 (JST)
59636,https://myanimelist.net/anime/59636/Uma_Musume__Cinderella_Gray,Uma Musume: Cinderella Gray,Umamusume: Cinderella Gray,ウマ娘 シンデレラグレイ,TV,Manga,13,Currently Airing,23 min per ep,,7.7,1331,6385,11620,52,"A spin-off title of the Uma Musume project by Cygames. It follows Oguri Cap through her time at Kasamatsu Training Center Academy and on her journey of becoming a legendary horse girl.

(Source: MU)",spring,2025,CygamesPictures,"Drama, Sports",https://cdn.myanimelist.net/images/anime/1626/148097.jpg,https://www.youtube.com/watch?v=Gw8j8-m1gVk,2025-04-06T00:00:00+00:00,,Sundays at 16:30 (JST)
59636,https://myanimelist.net/anime/59636/Uma_Musume__Cinderella_Gray,Uma Musume: Cinderella Gray,Umamusume: Cinderella Gray,ウマ娘 シンデレラグレイ,TV,Manga,13,Currently Airing,23 min per ep,,7.7,1331,6385,11620,52,"A spin-off title of the Uma Musume project by Cygames. It follows Oguri Cap through her time at Kasamatsu Training Center Academy and on her journey of becoming a legendary horse girl.

(Source: MU)",spring,2025,CygamesPictures,"Drama, Sports",https://cdn.myanimelist.net/images/anime/1626/148097.jpg,https://www.youtube.com/watch?v=Gw8j8-m1gVk,2025-04-06T00:00:00+00:00,,Sundays at 16:30 (JST)
49778,https://myanimelist.net/anime/49778/Kijin_Gentoushou,Kijin Gentoushou,Sword of the Demon Hunter: Kijin Gentosho,鬼人幻燈抄,TV,Novel,,Currently Airing,Unknown,R - 17+ (violence & profanity),7.68,1355,3376,49043,161,"In the Edo period, there was a shrine maiden called ""Itsukihime"" in the mountain village of Kadono. Jinta, a young man who acts as the shrine maiden's guardian despite being a stranger, encounters a mysterious demon who speaks of the far future in the forest where he went to defeat it. From Edo to the Heisei era, this huge Japanese fantasy series follows a demon man who travels through time while continuously questioning the meaning of wielding a sword. 

(Source: Crunchyroll, edited)",spring,2025,Yokohama Animation Laboratory,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1722/148906.jpg,https://www.youtube.com/watch?v=4cOlvgk4UTs,2025-03-31T00:00:00+00:00,,Tuesdays at 00:00 (JST)
58812,https://myanimelist.net/anime/58812/Shin_Samurai-den_Yaiba,Shin Samurai-den Yaiba,Yaiba: Samurai Legend,真･侍伝 YAIBA,TV,Manga,,Currently Airing,23 min,PG-13 - Teens 13 or older,7.67,1403,5661,15883,51,"The protagonist, Kurogane Yaiba, is a samurai wild child who trains in the jungle with his father, Kenjurou. By a twist of fate, the determined samurai, Yaiba, returns to Japan and encounters his rival, Onimaru Takeshi. Yaiba, who lives for serious battles, embarks on a spectacular adventure when Onimaru obtains the ""Legendary Demon Sword!"" 

(Source: Shogakukan, edited)",spring,2025,Wit Studio,Adventure,https://cdn.myanimelist.net/images/anime/1942/148242.jpg,https://www.youtube.com/watch?v=7noPMIddli4,2025-04-05T00:00:00+00:00,,Saturdays at 17:30 (JST)
60334,https://myanimelist.net/anime/60334/Anne_Shirley,Anne Shirley,Anne Shirley,アン・シャーリー,TV,Novel,24,Currently Airing,24 min per ep,PG-13 - Teens 13 or older,7.66,1405,5275,19119,60,"Life is not easy for Anne Shirley, an 11-year-old orphan with a vast imagination and a short temper. In a twist of fate, she gets taken into the Cuthbert house in Avonlea. The elderly occupants Marilla and Matthew Cuthbert were looking for a young boy to help in the fields, but they're in for quite a shock when they realize Anne is a girl.

Adapted from the acclaimed classic by L. M. Montgomery, Akage no Anne portrays Anne's upbringing from 11 to 17 years of age and her encounters and separations with various people. Only time will tell what major decision Anne has to make that will change her life forever.

[Written by MAL Rewrite]",spring,2025,The Answer Studio,Drama,https://cdn.myanimelist.net/images/anime/1674/147871.jpg,https://www.youtube.com/watch?v=GXUaLD071as,2025-04-05T00:00:00+00:00,,Saturdays at 18:25 (JST)
57442,https://myanimelist.net/anime/57442/Shixiong_A_Shixiong_2nd_Season,Shixiong A Shixiong 2nd Season,My Senior Brother Is Too Steady,师兄啊师兄 第二季,ONA,Web novel,78,Currently Airing,21 min per ep,PG-13 - Teens 13 or older,7.62,1535,12972,1454,6,The second season of Shixiong A Shixiong.,,,Sparkly Key Animation Studio,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1859/140151.jpg,,2023-12-14T00:00:00+00:00,,
36064,https://myanimelist.net/anime/36064/Fate_Grand_Order,Fate/Grand Order,Fate/Grand Order,Fate/Grand Order,CM,Game,,Currently Airing,15 sec,PG-13 - Teens 13 or older,7.61,,3887,37971,213,Assorted commercials and collaborations for the Fate/Grand Order mobile RPG. These short animations are posted to Type-Moon's official YouTube channel and advertise the game itself or promote a new game event (eg. Dead Heat Summer Race! for summer 2017). The animation is unique to these commercials and is not present in the mobile game nor in the TV special of Fate/Grand Order.,,,"ufotable, Shaft, A-1 Pictures, SILVER LINK., Lerche, Wit Studio, Lay-duce, CloverWorks, Drive, Ijigen Tokyo","Action, Fantasy",https://cdn.myanimelist.net/images/anime/1554/110198.jpg,,2014-12-27T00:00:00+00:00,,
56701,https://myanimelist.net/anime/56701/Watashi_no_Shiawase_na_Kekkon_2nd_Season,Watashi no Shiawase na Kekkon 2nd Season,My Happy Marriage Season 2,わたしの幸せな結婚,TV,Novel,13,Currently Airing,23 min per ep,PG-13 - Teens 13 or older,7.61,1553,2056,113592,511,The second season of Watashi no Shiawase na Kekkon.,winter,2025,Kinema Citrus,"Drama, Fantasy, Romance",https://cdn.myanimelist.net/images/anime/1946/146770.jpg,https://www.youtube.com/watch?v=ZifkkwGBegE,2025-01-06T00:00:00+00:00,2025-04-09T00:00:00+00:00,Mondays at 22:30 (JST)
