mal_id,url,title,title_english,title_japanese,type,source,episodes,status,duration,rating,score,rank,popularity,members,favorites,synopsis,season,year,studios,genres,images.jpg.image_url,trailer.url,aired.from,aired.to,broadcast.string
59189,https://myanimelist.net/anime/59189/Sentai_Daishikkaku_2nd_Season,Sentai Daishikkaku 2nd Season,Go! Go! Loser Ranger! Season 2,戦隊大失格 2nd Season,TV,Manga,,Not yet aired,Unknown,PG-13 - Teens 13 or older,,,3810,39562,101,Second season of Sentai Daishikkaku.,spring,2025,Yostar Pictures,"Action, Fantasy",https://cdn.myanimelist.net/images/anime/1405/147694.jpg,https://www.youtube.com/watch?v=LBOJnYuMBgM,2025-04-13T00:00:00+00:00,,Sundays at 23:30 (JST)
59897,https://myanimelist.net/anime/59897/Kobayashi-san_Chi_no_Maid_Dragon__Samishigariya_no_Ryuu,Kobayashi-san Chi no Maid Dragon: Samishigariya no Ryuu,Miss Kobayashi's Dragon Maid: A Lonely Dragon Wants to be Loved,小林さんちのメイドラゴン さみしがりやの竜,Movie,Manga,1,Not yet aired,Unknown,PG-13 - Teens 13 or older,,,4111,33947,49,,,,Kyoto Animation,"Slice of Life, Supernatural",https://cdn.myanimelist.net/images/anime/1134/148744.jpg,https://www.youtube.com/watch?v=BW6bx31UqAM,2025-06-27T00:00:00+00:00,,
59897,https://myanimelist.net/anime/59897/Kobayashi-san_Chi_no_Maid_Dragon__Samishigariya_no_Ryuu,Kobayashi-san Chi no Maid Dragon: Samishigariya no Ryuu,Miss Kobayashi's Dragon Maid: A Lonely Dragon Wants to be Loved,小林さんちのメイドラゴン さみしがりやの竜,Movie,Manga,1,Not yet aired,Unknown,PG-13 - Teens 13 or older,,,4111,33947,49,,,,Kyoto Animation,"Slice of Life, Supernatural",https://cdn.myanimelist.net/images/anime/1134/148744.jpg,https://www.youtube.com/watch?v=BW6bx31UqAM,2025-06-27T00:00:00+00:00,,
59228,https://myanimelist.net/anime/59228/Kuroshitsuji__Midori_no_Majo-hen,Kuroshitsuji: Midori no Majo-hen,Black Butler: Emerald Witch Arc,黒執事 -緑の魔女編-,TV,Manga,13,Currently Airing,23 min per ep,R - 17+ (violence & profanity),7.99,680,4236,31648,125,"By the Queen's orders, Sebastian and Ciel head to Germany to investigate mysterious deaths that have been occurring. As the two investigate the truth behind the ""Werewolf Forest,"" where anyone who steps foot inside is cursed to death, a terrible curse falls upon them.

(Source: Official site, translated)",spring,2025,CloverWorks,"Action, Mystery, Supernatural",https://cdn.myanimelist.net/images/anime/1517/148292.jpg,https://www.youtube.com/watch?v=Vag2bbe70Y0,2025-04-05T00:00:00+00:00,,Saturdays at 23:30 (JST)
60154,https://myanimelist.net/anime/60154/Ore_wa_Seikan_Kokka_no_Akutoku_Ryoushu,Ore wa Seikan Kokka no Akutoku Ryoushu!,I'm the Evil Lord of an Intergalactic Empire!,俺は星間国家の悪徳領主！,TV,Light novel,,Currently Airing,23 min,PG-13 - Teens 13 or older,6.65,6248,4299,30584,88,"In his last life, Liam lived as a moral, responsible person...but died deep in debt and betrayed by his wife. Reborn into the ruling family of a vast interstellar empire, Liam knows that life is divided between the downtrodden and the ones who do the stomping, so this time he's going to take what he wants and live for himself. But somehow, things refuse to work out that way. Despite doing his best to become a tyrant, Liam's decisions lead to nothing but peace and prosperity for the empire under his rule, and he just gets more and more popular!

(Source: Seven Seas Entertainment)",spring,2025,Quad,"Action, Fantasy, Sci-Fi",https://cdn.myanimelist.net/images/anime/1703/148600.jpg,https://www.youtube.com/watch?v=bwOH4WJ_rDk,2025-04-06T00:00:00+00:00,,Sundays at 02:00 (JST)
59369,https://myanimelist.net/anime/59369/Lycoris_Recoil__Friends_Are_Thieves_of_Time,Lycoris Recoil: Friends Are Thieves of Time.,Lycoris Recoil Short Movie,『リコリス・リコイル』Friends are thieves of time.,ONA,Original,6,Not yet aired,Unknown,PG-13 - Teens 13 or older,,,4321,30222,67,"Six short movies featuring the daily lives of Chisato, Takina, and their friends. Each movie will have a different director and storyboard.",,,A-1 Pictures,Slice of Life,https://cdn.myanimelist.net/images/anime/1314/147593.jpg,https://www.youtube.com/watch?v=kal-KjsPStU,2025-04-16T00:00:00+00:00,,
59369,https://myanimelist.net/anime/59369/Lycoris_Recoil__Friends_Are_Thieves_of_Time,Lycoris Recoil: Friends Are Thieves of Time.,Lycoris Recoil Short Movie,『リコリス・リコイル』Friends are thieves of time.,ONA,Original,6,Not yet aired,Unknown,PG-13 - Teens 13 or older,,,4321,30222,67,"Six short movies featuring the daily lives of Chisato, Takina, and their friends. Each movie will have a different director and storyboard.",,,A-1 Pictures,Slice of Life,https://cdn.myanimelist.net/images/anime/1314/147593.jpg,https://www.youtube.com/watch?v=kal-KjsPStU,2025-04-16T00:00:00+00:00,,
60140,https://myanimelist.net/anime/60140/Kanchigai_no_Atelier_Meister__Eiyuu_Party_no_Moto_Zatsuyougakari_ga_Jitsu_wa_Sentou_Igai_ga_SSS_Rank_Datta_to_Iu_Yoku_Aru_Hanashi,"Kanchigai no Atelier Meister: Eiyuu Party no Moto Zatsuyougakari ga, Jitsu wa Sentou Igai ga SSS Rank Datta to Iu Yoku Aru Hanashi",The Unaware Atelier Meister,勘違いの工房主～英雄パーティの元雑用係が、実は戦闘以外がSSSランクだったというよくある話,TV,Light novel,12,Currently Airing,23 min per ep,PG-13 - Teens 13 or older,6.97,4502,4460,28439,80,"One day, Kurt, a kind-hearted boy, is suddenly kicked out of the Hero's Party for being ""useless."" He finds that his aptitude for weapons, magic, and all other combat-related skills is the lowest rank, so he takes odd-jobs repairing the castle walls and digging for minerals, where his exceptional abilities are immediately revealed. He proves to be skillful in cooking, building, mining, crafting magical tools—in fact, his aptitude for every skill unrelated to combat had an SSS-ranking! Kurt, however, seems completely unaware to his talent and ends up saving people, the town, and even the country through his unaware actions!?

(Source: AlphaPolis)",spring,2025,EMT Squared,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1743/148272.jpg,https://www.youtube.com/watch?v=mBb-M6HFGp8,2025-04-06T00:00:00+00:00,,Sundays at 22:00 (JST)
55995,https://myanimelist.net/anime/55995/Your_Forma,Your Forma,Your Forma,ユア・フォルマ,TV,Light novel,,Currently Airing,23 min,PG-13 - Teens 13 or older,6.63,6387,4470,28267,65,"In an alternate 2023, the Your Forma, a miraculous ""smart thread"" technology initially developed to treat a massive outbreak of viral encephalitis, has become an integral part of daily life. But these convenient devices come with an invasive drawback—they record every sight, sound, and even emotion their users experience.

For electronic investigator Echika Hieda, diving into peoples' memories via the Your Forma and hunting for evidence to solve the toughest crimes is all part of a day's work. The problem is, she's so good at what she does that her assistants literally fry their brains trying to keep up with her. After putting one too many aides in the hospital, the top brass finally furnish Echika with a partner on her level, a brilliant yet cheeky android named Harold Lucraft. Does this unlikely duo have what it takes to resolve their mutual suspicions and avert a deadly technological infection from sweeping across the globe before it's too late?

(Source: Yen Press)",spring,2025,Geno Studio,"Mystery, Sci-Fi",https://cdn.myanimelist.net/images/anime/1577/147967.jpg,https://www.youtube.com/watch?v=v2PU0EhV8uw,2025-04-02T00:00:00+00:00,,Wednesdays at 23:45 (JST)
58131,https://myanimelist.net/anime/58131/Shiunji-ke_no_Kodomotachi,Shiunji-ke no Kodomotachi,The Shiunji Family Children,紫雲寺家の子供たち,TV,Manga,12,Not yet aired,Unknown,,,,4502,27840,96,"The love between brother and sister. The love between man and woman. That which is most forbidden is most unyielding. The two sons and five daughters of the Shiunji family shine like brilliant gems, each with intelligence and beauty in equal measure. And with the pedigree of their wealthy father behind them, how could they not be the talk of the town? Eldest son Arata has spent his life being tossed around by the whims of his colorful sisters, yet a little teasing won't stop him from valuing his family over anything and anyone else. But when his youngest sister turns fifteen, their father reveals a long-hidden secret of the Shiunji ""siblings"" and knocks Arata's world off its axis...

(Source: Yen Press)",spring,2025,Doga Kobo,"Comedy, Romance",https://cdn.myanimelist.net/images/anime/1955/148360.jpg,https://www.youtube.com/watch?v=4XVwQr0t_zU,2025-04-08T00:00:00+00:00,,Tuesdays at 22:30 (JST)
